run_id,date,dataset,seeds_run,encoder_channels,bottleneck_channels,kernel_size,normalization,use_residual_connections,use_attention_gates,upsampling_mode,learning_rate,weight_decay,batch_size,epochs,mean_val_dice,std_val_dice,hypothesis,notes,interpretation
001,2026-05-08,BAGLS,"[42, 43, 44]","[6, 12, 24]",48,3,batch_norm,False,False,transposed_conv,0.001,0.0001,32,15,0.8695,0.006,"Baseline micro U-Net with BatchNorm, no attention, no residual",baseline,
002,2026-05-08,BAGLS,"[42, 43, 44]","[6, 12, 24]",48,3,batch_norm,False,True,transposed_conv,0.001,0.0001,32,15,0.8669,0.0018,"Baseline micro U-Net with BatchNorm, no attention, no residual",baseline,
003,2026-05-21,BAGLS,"[42, 43, 44]","[8, 16, 32]",32,3,batch_norm,False,False,bilinear,0.001,0.0001,32,20,0.8918,0.0042,"Baseline micro U-Net with BatchNorm, no attention, no residual",baseline,"The validation loss is not stable because of the batch normalization."
004,2026-05-21,BAGLS,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,32,20,0.8616,0.0068,"Baseline micro U-Net with no Normalization, no attention, no residual",baseline,"Removing normalization made the validation more stable than before."
005,2026-05-21,BAGLS,"[42, 43, 44]","[6, 12, 24]",48,3,none,False,False,bilinear,0.001,0.0001,64,20,0.7896,0.076,"Baseline micro U-Net with BatchNorm, no attention, no residual",baseline,"8% loss in validation Dice when no of channels are reduced."
006,2026-05-27,EMSegmentation,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,64,20,0.6066,0.1003,Batch Normalization makes the learning stable.,Using EM - Mitochondria Dataset for Hypothesis 1,
007,2026-05-27,EMSegmentation,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,64,30,0.7127,0.0866,Batch Normalization makes the learning stable.,Using EM - Mitochondria Dataset for Hypothesis 1,
008,2026-05-27,EMSegmentation,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,64,40,0.7678,0.0313,Batch Normalization makes the learning stable.,Using EM - Mitochondria Dataset for Hypothesis 1,
009,2026-05-28,EMSegmentation,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,64,50,0.7491,0.1035,Batch Normalization makes the learning stable.,Using EM - Mitochondria Dataset for Hypothesis 1,
2026_05_28_15_48_54,2026-05-28,EMSegmentation,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,64,45,0.7643,0.0611,Batch Normalization makes the learning stable.,Using EM - Mitochondria Dataset for Hypothesis 1,
2026_06_04_16_32_41,2026-06-04,Polyp,"[42, 43, 44]","[8, 16, 32]",32,3,none,False,False,bilinear,0.001,0.0001,64,45,0.4851,0.051,Batch Normalization makes the learning stable.,Converted the Polyp masks to clean binary.,
